device_cpu_model,device_total_ram,device_storage_type,timestamp,mac_address,cpu_usage,memory_usage,disk_usage,total_power,network_usage,grid_intensity,num_processes
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:32,38:d5:7a:53:a5:5f,28.6,84.9,6.4,44.16414,262.61,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:33,38:d5:7a:53:a5:5f,16.7,84.7,6.4,26.886679999999995,262.63,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:34,38:d5:7a:53:a5:5f,7.1,84.7,6.4,12.953239999999997,262.68,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:35,38:d5:7a:53:a5:5f,13.2,84.7,6.4,21.80678,262.73,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:36,38:d5:7a:53:a5:5f,17.5,84.7,6.4,28.047799999999995,262.78,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:37,38:d5:7a:53:a5:5f,13.7,84.7,6.4,22.532479999999996,262.8,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:38,38:d5:7a:53:a5:5f,18.0,84.6,6.4,28.770599999999995,262.88,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:40,38:d5:7a:53:a5:5f,3.9,84.6,6.4,8.30586,262.96,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:41,38:d5:7a:53:a5:5f,12.5,84.5,6.4,20.784999999999997,263.02,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:42,38:d5:7a:53:a5:5f,2.1,84.4,6.4,5.68754,263.07,450,278
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:43,38:d5:7a:53:a5:5f,2.1,84.4,6.4,5.68754,263.14,450,278
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:44,38:d5:7a:53:a5:5f,4.0,84.4,6.4,8.4452,263.19,450,278
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:45,38:d5:7a:53:a5:5f,10.3,84.4,6.4,17.58902,263.26,450,278
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:46,38:d5:7a:53:a5:5f,0.0,84.4,6.4,2.6396,263.33,450,278
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:47,38:d5:7a:53:a5:5f,7.7,84.4,6.4,13.81538,263.35,450,278
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:49,38:d5:7a:53:a5:5f,9.1,84.4,6.4,15.847339999999997,263.37,450,278
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:50,38:d5:7a:53:a5:5f,0.0,84.4,6.4,2.6396,263.39,450,278
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:51,38:d5:7a:53:a5:5f,17.7,84.4,6.4,28.329379999999997,263.42,450,279
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:52,38:d5:7a:53:a5:5f,1.9,84.4,6.4,5.397259999999999,263.44,450,277
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:53,38:d5:7a:53:a5:5f,4.0,84.4,6.4,8.4452,263.46,450,277
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:54,38:d5:7a:53:a5:5f,0.0,84.4,6.4,2.6396,263.49,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:55,38:d5:7a:53:a5:5f,7.7,84.4,6.4,13.81538,263.52,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:56,38:d5:7a:53:a5:5f,3.9,84.4,6.4,8.30006,263.54,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:58,38:d5:7a:53:a5:5f,12.3,84.4,6.4,20.49182,263.56,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:31:59,38:d5:7a:53:a5:5f,6.2,84.4,6.4,11.638279999999998,263.58,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:00,38:d5:7a:53:a5:5f,17.9,84.4,6.4,28.61966,263.61,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:01,38:d5:7a:53:a5:5f,15.4,84.4,6.4,24.99116,263.62,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:02,38:d5:7a:53:a5:5f,15.2,84.4,6.4,24.700879999999998,263.64,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:03,38:d5:7a:53:a5:5f,14.6,84.4,6.4,23.830039999999997,263.66,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:04,38:d5:7a:53:a5:5f,26.8,84.4,6.4,41.53712,263.69,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:05,38:d5:7a:53:a5:5f,2.0,84.4,6.4,5.5424,263.74,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:06,38:d5:7a:53:a5:5f,45.9,84.4,6.4,69.25885999999997,263.76,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:08,38:d5:7a:53:a5:5f,1.8,84.4,6.4,5.25212,263.77,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:09,38:d5:7a:53:a5:5f,0.0,84.4,6.4,2.6396,263.8,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:10,38:d5:7a:53:a5:5f,4.2,84.4,6.4,8.73548,263.82,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:11,38:d5:7a:53:a5:5f,27.1,84.2,6.4,41.96674,263.85,450,276
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:12,38:d5:7a:53:a5:5f,5.7,83.6,6.4,10.88938,263.87,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:13,38:d5:7a:53:a5:5f,12.0,83.5,6.4,20.030299999999997,263.88,450,274
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:14,38:d5:7a:53:a5:5f,0.0,81.6,6.4,2.5584,263.91,450,274
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:15,38:d5:7a:53:a5:5f,17.0,81.6,6.4,27.2322,263.93,450,274
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:16,38:d5:7a:53:a5:5f,10.9,81.7,6.4,18.38156,263.95,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:18,38:d5:7a:53:a5:5f,10.9,82.5,6.4,18.40476,263.97,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:19,38:d5:7a:53:a5:5f,4.0,82.5,6.4,8.390099999999999,263.99,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:20,38:d5:7a:53:a5:5f,5.4,82.6,6.4,10.42496,264.0,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:21,38:d5:7a:53:a5:5f,4.3,82.8,6.4,8.834219999999998,264.11,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:22,38:d5:7a:53:a5:5f,3.6,82.8,6.4,7.818239999999999,264.13,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:23,38:d5:7a:53:a5:5f,0.0,82.8,6.4,2.5932,264.14,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:24,38:d5:7a:53:a5:5f,0.0,82.8,6.4,2.5932,264.16,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:25,38:d5:7a:53:a5:5f,1.8,82.8,6.4,5.2057199999999995,264.18,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:27,38:d5:7a:53:a5:5f,2.2,82.8,6.4,5.78628,264.2,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:28,38:d5:7a:53:a5:5f,5.9,82.8,6.4,11.15646,264.23,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:29,38:d5:7a:53:a5:5f,18.4,82.8,6.4,29.298959999999997,264.24,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:30,38:d5:7a:53:a5:5f,14.6,82.8,6.4,23.783639999999995,264.27,450,275
"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",7.74,HDD,2025-04-09 12:32:31,38:d5:7a:53:a5:5f,0.0,82.8,6.4,2.5932,264.29,450,275
